Party,Constituency,Parliament Constituency,Winning Candidate,Total Votes,Margin
Odisha,Bharatiya Janata Party,Nabarangpur(12),BALABHADRA MAJHI,481396,87536
Odisha,Bharatiya Janata Party,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371
Odisha,Bharatiya Janata Party,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077
Odisha,Bharatiya Janata Party,Kendrapara(15),BAIJAYANT PANDA,615705,66536
Odisha,Bharatiya Janata Party,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696
Odisha,Bharatiya Janata Party,Puri(17),SAMBIT PATRA,629330,104709
Odisha,Bharatiya Janata Party,Bhubaneswar(18),APARAJITA SARANGI,512519,35152
Odisha,Bharatiya Janata Party,Aska(19),ANITA SUBHADARSHINI,494226,99974
Odisha,Bharatiya Janata Party,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
Odisha,Indian National Congress,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
Puducherry,Indian National Congress,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
Punjab,Indian National Congress,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
Punjab,Indian National Congress,Amritsar(2),GURJEET SINGH AUJLA,255181,40301
Punjab,Indian National Congress,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
Punjab,Indian National Congress,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
Punjab,Indian National Congress,Fatehgarh Sahib(8),AMAR SINGH,332591,34202
Punjab,Indian National Congress,Firozpur(10),SHER SINGH GHUBAYA,266626,3242
Punjab,Indian National Congress,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
Punjab,Aam Aadmi Party,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,303859,44111
Punjab,Aam Aadmi Party,Anandpur Sahib(6),MALVINDER SINGH KANG,313217,10846
Punjab,Aam Aadmi Party,Sangrur(12),GURMEET SINGH MEET HAYER,364085,172560
Punjab,Shiromani Akali Dal,Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656
Punjab,Shiromani Akali Dal,Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656
Punjab,Independent,Khadoor Sahib(3),AMRITPAL SINGH,404430,197120
Punjab,Independent,Faridkot(9),SARABJEET SINGH KHALSA,298062,70053
Rajasthan,Bharatiya Janata Party,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711
Rajasthan,Bharatiya Janata Party,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615
Rajasthan,Bharatiya Janata Party,JAIPUR(7),MANJU SHARMA,886850,331767
Rajasthan,Bharatiya Janata Party,ALWAR(8),BHUPENDER YADAV,631992,48282
Rajasthan,Bharatiya Janata Party,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991
Rajasthan,Bharatiya Janata Party,PALI(15),P. P. CHAUDHARY,757389,245351
Rajasthan,Bharatiya Janata Party,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677
Rajasthan,Bharatiya Janata Party,JALORE (18),LUMBARAM,796783,201543
Rajasthan,Bharatiya Janata Party,UDAIPUR (19),MANNA LAL RAWAT,738286,261608
Rajasthan,Bharatiya Janata Party,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
Rajasthan,Bharatiya Janata Party,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
Rajasthan,Bharatiya Janata Party,BHILWARA(23),DAMODAR AGARWAL,807640,354606
Rajasthan,Bharatiya Janata Party,KOTA(24),OM BIRLA,750496,41974
Rajasthan,Bharatiya Janata Party,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
Rajasthan,Indian National Congress,GANGANAGAR (1),KULDEEP INDORA,726492,88153
Rajasthan,Indian National Congress,CHURU(3),RAHUL KASWAN,728211,72737
Rajasthan,Indian National Congress,JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235
Rajasthan,Indian National Congress,BHARATPUR (9),SANJNA JATAV,579890,51983
Rajasthan,Indian National Congress,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
Rajasthan,Indian National Congress,DAUSA (11),MURARI LAL MEENA,646266,237340
Rajasthan,Indian National Congress,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
Rajasthan,Indian National Congress,BARMER(17),UMMEDA RAM BENIWAL,704676,118176
Rajasthan,Communist Party of India (Marxist),SIKAR(5),AMRARAM,659300,72896
Rajasthan,Rashtriya Loktantrik Party,NAGAUR(14),HANUMAN BENIWAL,596955,42225
Rajasthan,Bharat Adivasi Party,BANSWARA (20),RAJ KUMAR ROAT,820831,247054
Sikkim,Sikkim Krantikari Morcha,Sikkim(1),INDRA HANG SUBBA,164396,80830
Tamil Nadu,Dravida Munnetra Kazhagam,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222
Tamil Nadu,Dravida Munnetra Kazhagam,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
Tamil Nadu,Dravida Munnetra Kazhagam,CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689
Tamil Nadu,Dravida Munnetra Kazhagam,SRIPERUMBUDUR(5),T R BAALU,758611,487029
Tamil Nadu,Dravida Munnetra Kazhagam,KANCHEEPURAM(6),SELVAM. G,586044,221473
Tamil Nadu,Dravida Munnetra Kazhagam,ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559
Tamil Nadu,Dravida Munnetra Kazhagam,VELLORE(8),DM KATHIR ANAND,568692,215702
Tamil Nadu,Dravida Munnetra Kazhagam,DHARMAPURI(10),MANI. A.,432667,21300
Tamil Nadu,Dravida Munnetra Kazhagam,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931
Tamil Nadu,Dravida Munnetra Kazhagam,ARANI(12),THARANIVENTHAN M S,500099,208766
Tamil Nadu,Dravida Munnetra Kazhagam,KALLAKURICHI(14),MALAIYARASAN D,561589,53784
Tamil Nadu,Dravida Munnetra Kazhagam,SALEM(15),SELVAGANAPATHI T M,566085,70357
Tamil Nadu,Dravida Munnetra Kazhagam,NAMAKKAL(16),MATHESWARAN V S,462036,29112
Tamil Nadu,Dravida Munnetra Kazhagam,ERODE(17),K E PRAKASH,562339,236566
Tamil Nadu,Dravida Munnetra Kazhagam,NILGIRIS(19),RAJA A,473212,240585
Tamil Nadu,Dravida Munnetra Kazhagam,COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068
Tamil Nadu,Dravida Munnetra Kazhagam,POLLACHI(21),ESWARASAMY K,533377,252042
Tamil Nadu,Dravida Munnetra Kazhagam,PERAMBALUR(25),ARUN NEHRU,603209,389107
Tamil Nadu,Dravida Munnetra Kazhagam,THANJAVUR(30),MURASOLI S,502245,319583
Tamil Nadu,Dravida Munnetra Kazhagam,THENI(33),THANGA TAMILSELVAN,571493,278825
Tamil Nadu,Dravida Munnetra Kazhagam,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738
Tamil Nadu,Dravida Munnetra Kazhagam,TENKASI(37),DR RANI SRI KUMAR,425679,196199
Tamil Nadu,Indian National Congress,TIRUVALLUR(1),Sasikanth Senthil,796956,572155
Tamil Nadu,Indian National Congress,KRISHNAGIRI(9),GOPINATH K,492883,192486
Tamil Nadu,Indian National Congress,KARUR(23),JOTHIMANI. S,534906,166816
Tamil Nadu,Indian National Congress,CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
Tamil Nadu,Indian National Congress,MAYILADUTHURAI(28),SUDHA R,518459,271183
Tamil Nadu,Indian National Congress,SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
Tamil Nadu,Indian National Congress,VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
Tamil Nadu,Indian National Congress,TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
Tamil Nadu,Indian National Congress,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
Tamil Nadu,Viduthalai Chiruthaigal Katchi,VILUPPURAM(13),RAVIKUMAR. D,477033,70703
Tamil Nadu,Viduthalai Chiruthaigal Katchi,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,505084,103554
Tamil Nadu,Communist Party of India,TIRUPPUR(18),"SUBBARAYAN, K.",472739,125928
Tamil Nadu,Communist Party of India,NAGAPATTINAM(29),SELVARAJ V,465044,208957
Tamil Nadu,Communist Party of India (Marxist),DINDIGUL(22),SACHITHANANTHAM R,670149,443821
Tamil Nadu,Communist Party of India (Marxist),MADURAI(32),VENKATESAN S,430323,209409
Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,TIRUCHIRAPPALLI(24),DURAI VAIKO,542213,313094
Tamil Nadu, Indian Union Muslim League,RAMANATHAPURAM(35),NAVASKANI K,509664,166782
Telangana,Bharatiya Janata Party,Adilabad (1),GODAM NAGESH,568168,90652
Telangana,Bharatiya Janata Party,Karimnagar (3),BANDI SANJAY KUMAR,585116,225209
Telangana,Bharatiya Janata Party,Nizamabad(4),ARVIND DHARMAPURI,592318,109241
Telangana,Bharatiya Janata Party,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139
Telangana,Bharatiya Janata Party,Malkajgiri(7),EATALA RAJENDER,991042,391475
Telangana,Bharatiya Janata Party,Secunderabad(8),G. KISHAN REDDY,473012,49944
Telangana,Bharatiya Janata Party,Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897
Telangana,Bharatiya Janata Party,Mahbubnagar(11),ARUNA. D. K,510747,4500
Telangana,Indian National Congress,Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364
Telangana,Indian National Congress,Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188
Telangana,Indian National Congress,Nagarkurnool(12),DR.MALLU RAVI,465072,94414
Telangana,Indian National Congress,Nalgonda(13),KUNDURU RAGHUVEER,784337,559905
Telangana,Indian National Congress,Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170
Telangana,Indian National Congress,Warangal(15),KADIYAM KAVYA,581294,220339
Telangana,Indian National Congress,Mahabubabad  (16),BALRAM NAIK PORIKA,612774,349165
Telangana,Indian National Congress,Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847
Telangana,All India Majlis-E-Ittehadul Muslimeen,Hyderabad(9),ASADUDDIN OWAISI,661981,338087
Tripura, Bharatiya Janata Party,Tripura West(1),BIPLAB KUMAR DEB,881341,611578
Tripura, Bharatiya Janata Party,Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819
Uttar Pradesh,Samajwadi Party,Kairana(2),IQRA CHOUDHARY,528013,69116
Uttar Pradesh,Samajwadi Party,Muzaffarnagar(3),HARENDRA SINGH MALIK,470721,24672
Uttar Pradesh,Samajwadi Party,Moradabad(6),RUCHI VIRA,637363,105762
Uttar Pradesh,Samajwadi Party,Rampur(7),MOHIBBULLAH,481503,87434
Uttar Pradesh,Samajwadi Party,Sambhal(8),ZIA UR REHMAN,571161,121494
Uttar Pradesh,Samajwadi Party,Firozabad(20),AKSHAYA YADAV,543037,89312
Uttar Pradesh,Samajwadi Party,Mainpuri(21),DIMPLE YADAV,598526,221639
Uttar Pradesh,Samajwadi Party,Etah(22),DEVESH SHAKYA,475808,28052
Uttar Pradesh,Samajwadi Party,Badaun(23),ADITYA YADAV,501855,34991
Uttar Pradesh,Samajwadi Party,Aonla(24),NEERAJ MAURYA,492515,15969
Uttar Pradesh,Samajwadi Party,Kheri(28),UTKARSH VERMA 'MADHUR',557365,34329
Uttar Pradesh,Samajwadi Party,Dhaurahra(29),ANAND BHADAURIYA,443743,4449
Uttar Pradesh,Samajwadi Party,Mohanlalganj(34),R.K. CHAUDHARY,667869,70292
Uttar Pradesh,Samajwadi Party,Sultanpur(38),RAMBHUAL NISHAD,444330,43174
Uttar Pradesh,Samajwadi Party,Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206
Uttar Pradesh,Samajwadi Party,Etawah(41),JITENDRA KUMAR DOHARE,490747,58419
Uttar Pradesh,Samajwadi Party,Kannauj(42),AKHILESH YADAV,642292,170922
Uttar Pradesh,Samajwadi Party,Jalaun(45),NARAYAN DAS AHIRWAR,530180,53898
Uttar Pradesh,Samajwadi Party,Hamirpur(47),AJENDRA SINGH LODHI,490683,2629
Uttar Pradesh,Samajwadi Party,Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
Uttar Pradesh,Samajwadi Party,Fatehpur(49),NARESH CHANDRA UTTAM PATEL,500328,33199
Uttar Pradesh,Samajwadi Party,Kaushambi(50),PUSHPENDRA SAROJ,509787,103944
Uttar Pradesh,Samajwadi Party,Faizabad(54),AWADHESH PRASAD,554289,54567
Uttar Pradesh,Samajwadi Party,Ambedkar Nagar(55),LALJI VERMA,544959,137247
Uttar Pradesh,Samajwadi Party,Shrawasti(58),RAM SHIROMANI VERMA,511055,76673
Uttar Pradesh,Samajwadi Party,Basti(61),RAM PRASAD CHAUDHARY,527005,100994
Uttar Pradesh,Samajwadi Party,Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170
Uttar Pradesh,Samajwadi Party,Lalganj(68),DAROGA PRASAD SAROJ,439959,115023
Uttar Pradesh,Samajwadi Party,Azamgarh(69),DHARMENDRA YADAV,508239,161035
Uttar Pradesh,Samajwadi Party,Ghosi(70),RAJEEV RAI,503131,162943
Uttar Pradesh,Samajwadi Party,Salempur(71),RAMASHANKAR RAJBHAR,405472,3573
Uttar Pradesh,Samajwadi Party,Ballia(72),SANATAN PANDEY,467068,43384
Uttar Pradesh,Samajwadi Party,Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335
Uttar Pradesh,Samajwadi Party,Machhlishahr(74),PRIYA SAROJ,451292,35850
Uttar Pradesh,Samajwadi Party,Ghazipur(75),AFZAL ANSARI,539912,124861
Uttar Pradesh,Samajwadi Party,Chandauli(76),BIRENDRA SINGH,474476,21565
Uttar Pradesh,Samajwadi Party,Robertsganj(80),CHHOTELAL,465848,129234
Uttar Pradesh,Bharatiya Janata Party,Amroha(9),KANWAR SINGH TANWAR,476506,28670
Uttar Pradesh,Bharatiya Janata Party,Meerut(10),ARUN GOVIL,546469,10585
Uttar Pradesh,Bharatiya Janata Party,Ghaziabad(12),ATUL GARG,854170,336965
Uttar Pradesh,Bharatiya Janata Party,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472
Uttar Pradesh,Bharatiya Janata Party,Bulandshahr(14),DR BHOLA SINGH,597310,275134
Uttar Pradesh,Bharatiya Janata Party,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647
Uttar Pradesh,Bharatiya Janata Party,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318
Uttar Pradesh,Bharatiya Janata Party,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407
Uttar Pradesh,Bharatiya Janata Party,Agra(18),PROF S P SINGH BAGHEL,599397,271294
Uttar Pradesh,Bharatiya Janata Party,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405
Uttar Pradesh,Bharatiya Janata Party,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804
Uttar Pradesh,Bharatiya Janata Party,Pilibhit(26),JITIN PRASADA,607158,164935
Uttar Pradesh,Bharatiya Janata Party,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379
Uttar Pradesh,Bharatiya Janata Party,Hardoi(31),JAI PRAKASH,486798,27856
Uttar Pradesh,Bharatiya Janata Party,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406
Uttar Pradesh,Bharatiya Janata Party,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
Uttar Pradesh,Bharatiya Janata Party,Lucknow(35),RAJ NATH SINGH,612709,135159
Uttar Pradesh,Bharatiya Janata Party,Farrukhabad(40),MUKESH RAJPUT,487963,2678
Uttar Pradesh,Bharatiya Janata Party,Kanpur(43),RAMESH AWASTHI,443055,20968
Uttar Pradesh,Bharatiya Janata Party,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
Uttar Pradesh,Bharatiya Janata Party,Jhansi(46),ANURAG SHARMA,690316,102614
Uttar Pradesh,Bharatiya Janata Party,Phulpur(51),PRAVEEN PATEL,452600,4332
Uttar Pradesh,Bharatiya Janata Party,Baharaich(56),ANAND KUMAR,518802,64227
Uttar Pradesh,Bharatiya Janata Party,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843
Uttar Pradesh,Bharatiya Janata Party,Gonda(59),KIRTIVARDHAN SINGH,474258,46224
Uttar Pradesh,Bharatiya Janata Party,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728
Uttar Pradesh,Bharatiya Janata Party,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451
Uttar Pradesh,Bharatiya Janata Party,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
Uttar Pradesh,Bharatiya Janata Party,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790
Uttar Pradesh,Bharatiya Janata Party,Deoria(66),SHASHANK MANI,504541,34842
Uttar Pradesh,Bharatiya Janata Party,Bansgaon(67),KAMLESH PASWAN,428693,3150
Uttar Pradesh,Bharatiya Janata Party,Varanasi(77),NARENDRA MODI,612970,152513
Uttar Pradesh,Bharatiya Janata Party,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072
Uttar Pradesh,Indian National Congress,Saharanpur(1),IMRAN MASOOD,547967,64542
Uttar Pradesh,Indian National Congress,Sitapur(30),RAKESH RATHOR,531138,89641
Uttar Pradesh,Indian National Congress,Rae Bareli(36),RAHUL GANDHI,687649,390030
Uttar Pradesh,Indian National Congress,Amethi(37),KISHORI LAL,539228,167196
Uttar Pradesh,Indian National Congress,Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
Uttar Pradesh,Indian National Congress,Barabanki(53),TANUJ PUNIA,719927,215704
Uttar Pradesh,Rashtriya Lok Dal,Bijnor(4),CHANDAN CHAUHAN,404493,37508
Uttar Pradesh,Rashtriya Lok Dal,Baghpat(11),DR RAJKUMAR SANGWAN,488967,159459
Uttar Pradesh,Aazad Samaj Party (Kanshi Ram),Nagina(5),CHANDRASHEKHAR,512552,151473
Uttar Pradesh,Apna Dal (Soneylal),Mirzapur(79),ANUPRIYA PATEL,471631,37810
Uttarakhand,Bharatiya Janata Party,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493
Uttarakhand,Bharatiya Janata Party,Garhwal(2),ANIL BALUNI,432159,163503
Uttarakhand,Bharatiya Janata Party,Almora(3),AJAY TAMTA,429167,234097
Uttarakhand,Bharatiya Janata Party,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548
Uttarakhand,Bharatiya Janata Party,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056
West Bengal,All India Trinamool Congress,Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,788375,39250
West Bengal,All India Trinamool Congress,Jangipur(9),KHALILUR RAHAMAN,544427,116637
West Bengal,All India Trinamool Congress,Baharampur(10),PATHAN YUSUF,524516,85022
West Bengal,All India Trinamool Congress,Murshidabad(11),ABU TAHER KHAN,682442,164215
West Bengal,All India Trinamool Congress,Krishnanagar(12),MAHUA MOITRA,628789,56705
West Bengal,All India Trinamool Congress,Barrackpur(15),PARTHA BHOWMICK,520231,64438
West Bengal,All India Trinamool Congress,Dum dum(16),SOUGATA RAY,528579,70660
West Bengal,All India Trinamool Congress,Barasat(17),KAKOLI GHOSH DASTIDAR,692010,114189
West Bengal,All India Trinamool Congress,Basirhat(18),SK NURUL ISLAM,803762,333547
West Bengal,All India Trinamool Congress,Joynagar(19),PRATIMA MONDAL,894312,470219
West Bengal,All India Trinamool Congress,Mathurapur(20),BAPI HALDAR,755731,201057
West Bengal,All India Trinamool Congress,Diamond harbour(21),ABHISHEK BANERJEE,1048230,710930
West Bengal,All India Trinamool Congress,Jadavpur(22),SAYANI GHOSH,717899,258201
West Bengal,All India Trinamool Congress,Kolkata Dakshin(23),MALA ROY,615274,187231
West Bengal,All India Trinamool Congress,Kolkata Uttar(24),BANDYOPADHYAY SUDIP,454696,92560
West Bengal,All India Trinamool Congress,Howrah(25),PRASUN BANERJEE,626493,169442
West Bengal,All India Trinamool Congress,Uluberia(26),SAJDA AHMED,724622,218673
West Bengal,All India Trinamool Congress,Srerampur(27),KALYAN BANERJEE,673970,174830
West Bengal,All India Trinamool Congress,Hooghly(28),RACHNA BANERJEE,702744,76853
West Bengal,All India Trinamool Congress,Arambagh(29),BAG MITALI,712587,6399
West Bengal,All India Trinamool Congress,Ghatal(32),ADHIKARI DEEPAK (DEV),837990,182868
West Bengal,All India Trinamool Congress,Jhargram(33),KALIPADA SAREN (KHERWAL),743478,174048
West Bengal,All India Trinamool Congress,Medinipur(34),JUNE MALIAH,702192,27191
West Bengal,All India Trinamool Congress,Bankura(36),ARUP CHAKRABORTY,641813,32778
West Bengal,All India Trinamool Congress,Bardhaman Purba(38),DR. SHARMILA SARKAR,720302,160572
West Bengal,All India Trinamool Congress,Bardhaman-Durgapur(39),AZAD KIRTI JHA,720667,137981
West Bengal,All India Trinamool Congress,Asansol(40),SHATRUGHAN PRASAD SINHA,605645,59564
West Bengal,All India Trinamool Congress,Bolpur(41),ASIT KUMAR MAL,855633,327253
West Bengal,All India Trinamool Congress,Birbhum(42),SATABDI ROY,717961,197650
West Bengal,Bharatiya Janata Party,Alipurduars(2),MANOJ TIGGA,695314,75447
West Bengal,Bharatiya Janata Party,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693
West Bengal,Bharatiya Janata Party,Darjeeling(4),RAJU BISTA,679331,178525
West Bengal,Bharatiya Janata Party,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197
West Bengal,Bharatiya Janata Party,Balurghat(6),SUKANTA MAJUMDAR,574996,10386
West Bengal,Bharatiya Janata Party,Maldaha Uttar(7),KHAGEN MURMU,527023,77708
West Bengal,Bharatiya Janata Party,Ranaghat(13),JAGANNATH SARKAR,782396,186899
West Bengal,Bharatiya Janata Party,Bangaon(14),SHANTANU THAKUR,719505,73693
West Bengal,Bharatiya Janata Party,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733
West Bengal,Bharatiya Janata Party,Kanthi(31),ADHIKARI SOUMENDU,763195,47764
West Bengal,Bharatiya Janata Party,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079
West Bengal,Bharatiya Janata Party,Bishnupur(37),KHAN SAUMITRA,680130,5567
West Bengal,Indian National Congress,Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368
